# June 27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog							Kompletní seznam změn


############################### SNEEZER UPDATE ###############################

# =============================================================================
# Rapsheet
# ============================================================================= 

action_escortToInfirmary						Doprovodit na ošetřovnu

# =============================================================================
# Interface Mode
# =============================================================================

interfacelogistics_cellStatus					Stav cel

buildtoolbar_popup_help_CellStatus_2			Můžeš kliknout na obsazenou celu a zobrazit si vězně, který je do ní přiřazen.

freeCell										Volná cela
freeCell_line0									Tato cela je momentálně neobsazená.
occupiedCell									Obsazená cela
occupiedCell_line0								*X *Y, *Z
occupiedCell_line1								Levým kliknutím si zobrazíš tohoto vězně.
object_prisoner_freshfish						Vězeň (nová krev)

total_Connections								Celkový počet připojení: *X
active_Connections								Maximální počet aktivních připojení: *X

interfacedeployment_VisitorDirection			Směr návštěvníků

interface_action_move							Přesunout

equipment_moreContraband						Kontraband

# =============================================================================
# Reports
# =============================================================================

report_intake_list_tooltip_prisonerTransfer		\n\nObčas dostaneš nabídku na rizikové vězně, kteří jsou na ostatní věznice příliš nebezpeční.\nPozor! Existuje důvod, proč se za ně platí tolik. Jsou to zocelení zločinci, které nechce žádná jiná věznice přijmout.

# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_tooltip_noUtilities		Vodní potrubí a kabely nelze stavět pod.

buildtoolbar_deployment_VisitorDirection 	Klikni na nápis na podlaze a přetáhni ho.\n\nTak osoby, které nejsou vězni, získají nápovědu, kterým směrem jít.\nPomáhá ovládat pohyb lidí ve vězení.

# =============================================================================
# Programs
# =============================================================================

guard_program_requirements             - *X pro každého strážného

schedule_zone_insaneSecOnly						Sektor pro choromyslné

# =============================================================================
# Codex
# =============================================================================

codex_option_lunar								Měsíční pozemek
codex_tooltip_lunar								Vygeneruje počáteční políčko, které připomíná měsíční povrch.

codex_option_doubleClick						Předměty přesouváš dvojím kliknutím

# =============================================================================
# Clone Tool
# =============================================================================

BuildCost_CloneRoom								Klonovací místnost

# =============================================================================
# Missing Strings
# =============================================================================

codex_startonline                   Jít online
codex_start                         Založit hru
codex_joinonline                    Přidat se k online hře
codex_join                          Přidat se ke hře
codex_usernamelabel                 Uživatelské jméno:
codex_namelabel                     Název hry:
codex_passwordlabel                 Heslo:
codex_passwordprotectedlabel        Chráněné heslem?
codex_listedlabel                   Veřejně uvedené?
codex_roomlistlabel                 Seznam her:
codex_connectinglabel               Připojuji se k serveru...
codex_retrievingserverlistlabel     Načítám seznam her...
codex_datausage                     Využití dat: Odesláno: *SkB/s, přijato: *RkB/s
codex_multiplayeroptions            Spravovat hráče
codex_playeroptions                 Hráči
codex_regionlabel                   Region:

multiplayer_chooseroomname          Zadej název hry
multiplayer_chooseusername          Zadej uživatelské jméno
multiplayer_joining                 Připojuji se k: *X
multiplayer_joiningstate_joining    Připojuji se ke hře
multiplayer_joiningstate_receiving  Vyhledávám svět
multiplayer_joiningstate_loading    Načítám svět
multiplayer_rejoining               Opětovné připojení ke hře po rozšíření pozemku:
multiplayer_leavegame_confirm       Opravdu chceš odejít z aktuální kooperativní hry?
multiplayer_hostleft                Hostitel se odpojil.
multiplayer_joingamefailed          Nepodařilo se připojit ke hře:
multiplayer_startgamefailed         Nepodařilo se zahájit hru:
multiplayer_incorrectpassword       Nesprávné heslo
multiplayer_disconnected            Připojení k serveru se přerušilo.
multiplayer_syncerror               Došlo k odpojení kvůli chybě synchronizace.\n\nZkus se ke hře připojit znovu.
multiplayer_hostonly                Dostupné pouze pro hostitele.
multiplayer_modsdisabled            Modifikace jsou pro online hru vypnuté.
multiplayer_mutatorsdisabled        Mutátory jsou pro online hru vypnuté.
multiplayer_kicked                  Vyhodili tě ze hry.
multiplayer_kick                    Vyhodit
multiplayer_ban                     Zablokovat

multiplayer_host                    Hostitel:

multiplayer_welcomeanalytics        Vítá tě Prison Architect pro více hráčů.\n\nPracovali jsme na to, abychom zprovoznili kompletní zážitek se hrou Prison Architect ve verzi pro více hráčů. Prison Architect je velká hra a toto je poprvé, co hru více hráčů zpřístupňujeme všem, takže budeme dávat pozor, jestli nedojde k nějakým problémům.\n\nKvůli tomu bychom rádi sbírali anonymní analytická data, která nám pomohou vyřešit problémy, na které mohou hráči ve hře narazit. Tuto funkci můžeš kdykoliv vypnout v nastavení. Na data, která shromažďujeme, se můžeš podívat v souboru metrics.txt.\n\nDoufáme, že si užiješ hraní Prison Architect s kamarády.

region_asia                         Asie
region_au                           Austrálie
region_cae                          Kanada, východ
region_eu                           Evropa
region_in                           Indie
region_jp                           Japonsko
region_ru                           Rusko
region_rue                          Rusko, východ
region_sa                           Jižní Amerika
region_kr                           Jižní Korea
region_us                           USA, východ
region_usw                          USA, západ

codex_option_escapeplans                Plány na útěk
buildtoolbar_rollcall                   Kontrola prezence
buildtoolbar_tooltip_rollcall           Svolej všechny vězně, aby se postavili před cely. Dostupné pouze během spánkových režimů a během noci.
interfacecontrol_graphs                 Grafy
interfacecontrol_graphs_tooltip         Otevři obrazovku grafů, na které můžeš porovnat grafy různých aspektů svého vězení.

graph_title                             Grafy

graph_label_1                           Typ dat 1
graph_label_2                           Typ dat 2
graph_label_day                         Den

graph_axis_none                         Noc
graph_axis_profit                       Zisk
graph_axis_funds                        Prostředky
graph_axis_prisonsize                   Velikost věznice (m²)
graph_axis_numprisoners                 Počet vězňů
graph_axis_numstaff                     Počet zaměstnanců
graph_axis_releasedprisoners            Propuštění vězni
graph_axis_totalreleasedprisoners       Propuštění vězni celkem
graph_axis_escapedprisoners             Uprchlí vězni
graph_axis_totalescapedprisoners        Uprchlí vězni celkem
graph_axis_entitydeath                  Úmrtí
graph_axis_totaldeaths                  Úmrtí celkem
graph_axis_prisonerdeaths               Úmrtí vězňů
graph_axis_guarddeaths                  Úmrtí strážných
graph_axis_securitygrading              Hodnocení strážných
graph_axis_healthgrading                Hodnocení zdraví
graph_axis_reformgrading                Hodnocení nápravy
graph_axis_punishmentgrading            Hodnocení trestů
graph_axis_reoffendingrate              Pravděpodobnost recidivity
graph_axis_prisonvalue                  Hodnota věznice
graph_axis_prisonercapacity             Kapacita věznice
graph_axis_numincidents                 Počet incidentů
graph_axis_totalincidents               Incidentů celkem


############################### Other ###############################

# =============================================================================
# Missing Strings
# =============================================================================

equipment_Photo				Fotografie	
equipment_SubMachineGun			Samopal	
equipment_Soap				Mýdlo

############################### Prison Wing Priviledges UPDATE ###############################

# =============================================================================
# Interface Mode
# =============================================================================

room_gymnasium									Tělocvična
buildtoolbar_popup_room_gymnasium				Místo, kde se vězni mohou vyřádit a uvolnit svou nahromaděnou agresi nebo se naučit řešit neshody postaru.


buildtoolbar_popup_help_CellStatus_1 Zobrazení stavu buňky zobrazuje obsazené (oranžová), volné (červená) a neobsazené (zelená) buňky.

object_punchbag_blocked              Boxovací pytel nelze dosáhnout (Objekt_punchbag_blokován)
object_trainingdummy_blocked         Tréninkový panák nelze dosáhnout

gangCell                             *X buňka
gangMember                           Člen gangu
gangSoldier                          Voják gangu
gangLieutenant                       Poručík gangu
gangLeader                           Vůdce gangu

interfacedeployment_CustomSector     Vlastní sektor

# =============================================================================
# Materials - Names
# =============================================================================

material_RunningTrack   Běžecká dráha
material_BambooFloor    Bambusová podlaha
material_pipewall       Stěna (potrubí)
material_overgrownwall  Zeď (zarostlá)
material_derelictwall   Zeď (Opuštěná)
material_slumwall       Zeď (Slum)
material_rustywall      Zeď (Rezavá)
material_bamboofence    Plot (Bambusový)
material_decayedWall    Zeď (Zchátralá)
material_flowerfield    Kvetoucí pole
material_FenceAndGrass  Plot (Tráva)
material_WallMinSec     Zeď (Minimální ost.)
material_WallMedSec     Wall (Střední ost.)
material_WallMaxSec     Zeď (Maximální ost.)
material_WallInsaneSec  Zeď (Choromyslní)
material_WallProtective Wall (Žlutá)
material_CliffEdge      Hrana útesu

# =============================================================================
# Objects - Names
# =============================================================================

object_ovalStaffTable     Tabulka (Oval)
object_Painting1          Malování
object_Painting2          Malování
object_ChessTable         Šachový stůl
object_GlassWindow        Okno Sklo
object_GlassWindowLarge   Okenní sklo (velké)
object_GymMat             Tělocvičná podložka
object_SinkMirror         Umyvadlo a zrcadlo
object_TableFootball      Fotbalový stůl
object_TableTennis        Stolní tenis
object_TyreApparatus      Přístroj na pneumatiky
object_bambooDoor         Dveře (bambus)
object_Canvas             Plátno a barvy
object_PetBird            Pták
object_SoftPillow         Měkký polštář
object_BoxingRing         Boxovací kruh
object_DumbbellRack       Stojan na činky
object_Treadmill          Běžecký pás
object_Fan                Ventilátor
object_PunchBag           Boxovací pytel
object_WardenStatue       Socha správce
object_WaterCooler        Chladič vody
object_SnackMachine       Stroj na občerstvení
object_Mattress           Postel (Pěnová matrace)
object_MetalBarrel        Kovový sud
object_WoodenBarrel       Dřevěný sud
object_MooringBollard     Kotvící sloupek
object_DeckChair          Palubní židle
object_LightGreen         Světlo (zelené)
object_LightRed           Světlo (červené)
object_Buoy               Bóje
object_LifeRing           Záchranný kruh
object_CoffeeMachine      Kávovar
object_ComputerStation    Počítačová stanice
object_PASystem           PA Systém
object_TrainingDummy      Výcviková figurína
object_StoneWaterSpout    Kamenný výtok vody
object_WindSock           Větrná ponožka
object_ComfyBed           Pohodlná postel
object_IndoorTreePlanter  Interiérový květináč na stromy
object_OldBed             Stará postel
object_CameraPillar       Kamerový sloupek
object_Blackboard         Tabule
object_JailDoorWhite      Dveře do vězení (bílé)
object_JailDoorLargeWhite Velké dveře do vězení (bílé)

object_SignNumber0								Cedule (Číslo 0)
object_SignNumber1								Cedule (Číslo 1)
object_SignNumber2								Cedule (Číslo 2)
object_SignNumber3								Cedule (Číslo 3)
object_SignNumber4								Cedule (Číslo 4)
object_SignNumber5								Cedule (Číslo 5)
object_SignNumber6								Cedule (Číslo 6)
object_SignNumber7								Cedule (Číslo 7)
object_SignNumber8								Cedule (Číslo 8)
object_SignNumber9								Cedule (Číslo 9)

object_SignLetterA								Cedule (Písmeno A)
object_SignLetterB								Cedule (Písmeno B)
object_SignLetterC								Cedule (Písmeno C)
object_SignLetterD								Cedule (Písmeno D)
object_SignLetterE								Cedule (Písmeno E)
object_SignLetterF								Cedule (Písmeno F)
object_SignLetterG								Cedule (Písmeno G)
object_SignLetterH								Cedule (Písmeno H)
object_SignLetterI								Cedule (Písmeno I)
object_SignLetterJ								Cedule (Písmeno J)
object_SignLetterK								Cedule (Písmeno K)
object_SignLetterL								Cedule (Písmeno L)
object_SignLetterM								Cedule (Písmeno M)
object_SignLetterN								Cedule (Písmeno N)
object_SignLetterO								Cedule (Písmeno O)
object_SignLetterP								Cedule (Písmeno P)
object_SignLetterQ								Cedule (Písmeno Q)
object_SignLetterR								Cedule (Písmeno R)
object_SignLetterS								Cedule (Písmeno S)
object_SignLetterT								Cedule (Písmeno T)
object_SignLetterU								Cedule (Písmeno U)
object_SignLetterV								Cedule (Písmeno V)
object_SignLetterW								Cedule (Písmeno W)
object_SignLetterX								Cedule (Písmeno X)
object_SignLetterY								Cedule (Písmeno Y)
object_SignLetterZ								Cedule (Písmeno Z)

equipment_StrikePlacard							Stávková plaketa

# =============================================================================
# Prefabs - Names
# =============================================================================

quickbuild_Armoury    Zbrojnice
quickbuild_Infirmary  Ošetřovna
quickbuild_Laundry    Prádelna
quickbuild_Library    Knihovna
quickbuild_MailRoom   Poštovní místnost
quickbuild_Visitation Návštěvní místnost

# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_affectsGradingNegativly    -SNÍŽÍ známku vězeňské buňky.

buildtoolbar_popup_obj_ovalStaffTable   Skvěle se hodí k židlím v prostorách pro personál.
buildtoolbar_popup_obj_painting1        To, že je to vězení, neznamená, že to nemůžeme udržet na úrovni.
buildtoolbar_popup_obj_painting2        To, že je to vězení, neznamená, že to nemůžeme udržet na úrovni.
buildtoolbar_popup_obj_chessTable       Pro vězně nebo zaměstnance, kteří rádi přemýšlejí několik tahů dopředu.
buildtoolbar_popup_obj_GLassWindow      Abyste mohli zahlédnout slunce.
buildtoolbar_popup_obj_GlassWindowLarge K nahlédnutí velkého množství slunce.
buildtoolbar_popup_obj_GymMat           Pro protažení bolestí a zánětů.\n -Cvičení podle potřeby
buildtoolbar_popup_obj_TableTennis      Poskytuje další zábavu pro vaše chovance.\n -Zajišťuje potřebu rekreace.
buildtoolbar_popup_obj_TableFootball    Poskytuje další zábavu pro vaše chovance.\n -Zajišťuje potřebu rekreace.
buildtoolbar_popup_obj_TyreApparatus    Někteří vězni trvají na tom, aby měli způsob, jak trénovat šplhání.\n -Splňuje potřebu Cvičení.
buildtoolbar_popup_obj_SinkMirror       Dejte vězňům do cely umyvadlo a zrcadlo.\n -Splňuje potřebu hygieny.
buildtoolbar_popup_obj_bambooDoor       Bambusová brána vyrobená člověkem, která se hodí k bambusovému oplocení. \nPracuje se s ní jako se standardními dveřmi.
buildtoolbar_popup_obj_canvas           Kreativní způsob, jak mohou vězni vyjádřit své pocity, aniž by se navzájem pobodali.
buildtoolbar_popup_obj_PetBird          Malý společník, který bude dělat vězňům společnost.\n -Spokojí se s potřebami rodiny, pohodlí a luxusu.
buildtoolbar_popup_obj_SoftPillow       Další zlepšení kvality a pohodlí vězňova lůžka pomocí nadýchaného péřového polštáře.\n -Uspokojuje potřeby pohodlí a spánku.
buildtoolbar_popup_obj_BoxingRing       Bez něj se neobejde žádná vězeňská tělocvična. Většina vězňů si na tomto plátně nejraději maluje.\n -Uspokojuje potřeby cvičení a odpočinku.
buildtoolbar_popup_obj_DumbbellRack     Pro vaše vězně s posilovacími schopnostmi.\n -Uspokojuje potřeby cvičení.
buildtoolbar_popup_obj_Treadmill        Pro vězně k udržení kondice. Z vězňů, kteří tvrdě trénují, se mohou stát i rychlejší běžci.\n -Uspokojuje potřebu cvičení.
buildtoolbar_popup_obj_Fan              Staromódní stojící ventilátor, který pomáhá ochlazovat vzduch kolem sebe, a to malým množstvím.
buildtoolbar_popup_obj_PunchBag         Pro případy, kdy si vězni potřebují vybít trochu agrese.\n -Zajišťuje potřeby cvičení a rekreace.
buildtoolbar_popup_obj_WardenStatue     Vysoká kamenná socha na znamení ředitelovy vlády nad věznicí. Příliš mnoho takových soch může u vězňů vyvolat pocit utlačování. \n -Zvýší potlačení o malou hodnotu.
buildtoolbar_popup_obj_WaterCooler      Chvíle pro chlazení vody Architekta Vězení.
buildtoolbar_popup_obj_SnackMachine     Vysoce kalorické, nekvalitní občerstvení.
buildtoolbar_popup_obj_Mattress           Polohovatelná pěnová matrace. Nejlevnější forma postele, jaká existuje, ale lepší než podlaha.
buildtoolbar_popup_obj_MetalBarrel        Často se vyskytuje v docích.
buildtoolbar_popup_obj_WoodenBarrel       Často se vyskytuje v okolí doků.
buildtoolbar_popup_obj_MooringBollard     Dodejte oblastem doků klasický prvek. Funguje také jako malá zeď.
buildtoolbar_popup_obj_LightGreen         Venkovní světlo, ale se zelenou žárovkou. Vypadá skvěle s oblastí přistávací plochy pro vrtulníky.
buildtoolbar_popup_obj_LightRed           Venkovní světlo, ale s červenou žárovkou. Vypadá skvěle s oblastí heliportu.
buildtoolbar_popup_obj_Buoy               Plave ve vodě.
buildtoolbar_popup_obj_LifeRing           Dodejte oblastem doků klasický prvek.
buildtoolbar_popup_obj_ArcadeCabinet      Pobavte své spoluvězně špičkovým retro arkádovým automatem.\n -Uspokojuje potřeby odpočinku a pohodlí.
buildtoolbar_popup_obj_CoffeeMachine      Žádaná funkce každého přepracovaného zaměstnance.
buildtoolbar_popup_obj_ComputerStation    Uspokojuje potřeby "literatury" a "pohodlí".
buildtoolbar_popup_obj_PASystem           Potlačuje vězně pravidelným připomínáním, že jsou ve skutečnosti stále ve vězení. \n -Zvyšuje útlak, který vězni pociťují, když jsou umístěni v bloku cel nebo na dvoře.
buildtoolbar_popup_obj_TrainingDummy      Staromódní šaolinský tréninkový panák.\n -Vězni, kteří tvrdě trénují, se mohou dokonce naučit nové bojové dovednosti!
buildtoolbar_popup_obj_StoneWaterSpout    Kamenná gotická hlava, která po připojení k přívodu vody začne chrlit vodu z úst.
buildtoolbar_popup_obj_ComfyBed           Luxusní postel s matrací z paměťové pěny, která poskytuje ten nejlepší spánek.
buildtoolbar_popup_obj_IndoorTreePlanter  Zapuštěný květináč pro pěstování stromů v interiéru.
buildtoolbar_popup_obj_OldBed             Staromódní vězeňská postel. Pohodlnější než pěnová matrace, ale méně než standardní postel.
buildtoolbar_popup_obj_Blackboard         Žádná učebna se bez ní neobejde.
buildtoolbar_popup_obj_JailDoorWhite      Barevné vězeňské dveře, které vám pomohou označit bloky pro choromyslné.
buildtoolbar_popup_obj_JailDoorLargeWhite Barevné vězeňské dveře, které vám pomohou označit bloky pro choromyslné.
buildtoolbar_popup_obj_camerapillar       Umístění na otevřených místech a následné připevnění kamery po stranách.

buildtoolbar_popup_obj_signNumber0				Nástěnná cedule s číslem 0. Seřaďte znaky a vytvořte slova nebo štítky, např. "CELL BLOCK 4".
buildtoolbar_popup_obj_signNumber1				Nástěnná cedule s číslem 1. Seřaďte znaky a vytvořte slova nebo štítky, např. "CELL BLOCK 4".
buildtoolbar_popup_obj_signNumber2				Nástěnná cedule s číslem 2. Seřaďte znaky a vytvořte slova nebo štítky, např. "CELL BLOCK 4".
buildtoolbar_popup_obj_signNumber3				Nástěnná cedule s číslem 3. Seřaďte znaky a vytvořte slova nebo štítky, např. "CELL BLOCK 4".
buildtoolbar_popup_obj_signNumber4				Nástěnná cedule s číslem 4. Seřaďte znaky a vytvořte slova nebo štítky, např. "CELL BLOCK 4".
buildtoolbar_popup_obj_signNumber5				Nástěnná cedule s číslem 5. Seřaďte znaky a vytvořte slova nebo štítky, např. "CELL BLOCK 4".
buildtoolbar_popup_obj_signNumber6				Nástěnná cedule s číslem 6. Seřaďte znaky a vytvořte slova nebo štítky, např. "CELL BLOCK 4".
buildtoolbar_popup_obj_signNumber7				Nástěnná cedule s číslem 7. Seřaďte znaky a vytvořte slova nebo štítky, např. "CELL BLOCK 4".
buildtoolbar_popup_obj_signNumber8				Nástěnná cedule s číslem 8. Seřaďte znaky a vytvořte slova nebo štítky, např. "CELL BLOCK 4".
buildtoolbar_popup_obj_signNumber9				Nástěnná cedule s číslem 9. Seřaďte znaky a vytvořte slova nebo štítky, např. "CELL BLOCK 4".

buildtoolbar_popup_obj_signLetterA				Nástěnná cedule s písmenem A. Seřaďte znaky a vytvořte slova nebo štítky, např. "CELL BLOCK 4".
buildtoolbar_popup_obj_signLetterB				Nástěnná cedule s písmenem B. Seřaďte znaky a vytvořte slova nebo štítky, např. "CELL BLOCK 4".
buildtoolbar_popup_obj_signLetterC				Nástěnná cedule s písmenem C. Seřaďte znaky a vytvořte slova nebo štítky, např. "CELL BLOCK 4".
buildtoolbar_popup_obj_signLetterD				Nástěnná cedule s písmenem D. Seřaďte znaky a vytvořte slova nebo štítky, např. "CELL BLOCK 4".
buildtoolbar_popup_obj_signLetterE				Nástěnná cedule s písmenem E. Seřaďte znaky a vytvořte slova nebo štítky, např. "CELL BLOCK 4".
buildtoolbar_popup_obj_signLetterF				Nástěnná cedule s písmenem F. Seřaďte znaky a vytvořte slova nebo štítky, např. "CELL BLOCK 4".
buildtoolbar_popup_obj_signLetterG				Nástěnná cedule s písmenem G. Seřaďte znaky a vytvořte slova nebo štítky, např. "CELL BLOCK 4".
buildtoolbar_popup_obj_signLetterH				Nástěnná cedule s písmenem H. Seřaďte znaky a vytvořte slova nebo štítky, např. "CELL BLOCK 4".
buildtoolbar_popup_obj_signLetterI				Nástěnná cedule s písmenem I. Seřaďte znaky a vytvořte slova nebo štítky, např. "CELL BLOCK 4".
buildtoolbar_popup_obj_signLetterJ				Nástěnná cedule s písmenem J. Seřaďte znaky a vytvořte slova nebo štítky, např. "CELL BLOCK 4".
buildtoolbar_popup_obj_signLetterK				Nástěnná cedule s písmenem K. Seřaďte znaky a vytvořte slova nebo štítky, např. "CELL BLOCK 4".
buildtoolbar_popup_obj_signLetterL				Nástěnná cedule s písmenem L. Seřaďte znaky a vytvořte slova nebo štítky, např. "CELL BLOCK 4".
buildtoolbar_popup_obj_signLetterM				Nástěnná cedule s písmenem M. Seřaďte znaky a vytvořte slova nebo štítky, např. "CELL BLOCK 4".
buildtoolbar_popup_obj_signLetterN				Nástěnná cedule s písmenem N. Seřaďte znaky a vytvořte slova nebo štítky, např. "CELL BLOCK 4".
buildtoolbar_popup_obj_signLetterO				Nástěnná cedule s písmenem O. Seřaďte znaky a vytvořte slova nebo štítky, např. "CELL BLOCK 4".
buildtoolbar_popup_obj_signLetterP				Nástěnná cedule s písmenem P. Seřaďte znaky a vytvořte slova nebo štítky, např. "CELL BLOCK 4".
buildtoolbar_popup_obj_signLetterQ				Nástěnná cedule s písmenem Q. Seřaďte znaky a vytvořte slova nebo štítky, např. "CELL BLOCK 4".
buildtoolbar_popup_obj_signLetterR				Nástěnná cedule s písmenem R. Seřaďte znaky a vytvořte slova nebo štítky, např. "CELL BLOCK 4".
buildtoolbar_popup_obj_signLetterS				Nástěnná cedule s písmenem S. Seřaďte znaky a vytvořte slova nebo štítky, např. "CELL BLOCK 4".
buildtoolbar_popup_obj_signLetterT				Nástěnná cedule s písmenem T. Seřaďte znaky a vytvořte slova nebo štítky, např. "CELL BLOCK 4".
buildtoolbar_popup_obj_signLetterU				Nástěnná cedule s písmenem U. Seřaďte znaky a vytvořte slova nebo štítky, např. "CELL BLOCK 4".
buildtoolbar_popup_obj_signLetterV				Nástěnná cedule s písmenem V. Seřaďte znaky a vytvořte slova nebo štítky, např. "CELL BLOCK 4".
buildtoolbar_popup_obj_signLetterW				Nástěnná cedule s písmenem W. Seřaďte znaky a vytvořte slova nebo štítky, např. "CELL BLOCK 4".
buildtoolbar_popup_obj_signLetterX				Nástěnná cedule s písmenem X. Seřaďte znaky a vytvořte slova nebo štítky, např. "CELL BLOCK 4".
buildtoolbar_popup_obj_signLetterY				Nástěnná cedule s písmenem Y. Seřaďte znaky a vytvořte slova nebo štítky, např. "CELL BLOCK 4".
buildtoolbar_popup_obj_signLetterZ				Nástěnná cedule s písmenem Z. Seřaďte znaky a vytvořte slova nebo štítky, např. "CELL BLOCK 4".

buildtoolbar_popup_mat_pipewall       Vytvářejte stěny z trubek na základech a vytvářejte tak nové oblasti nebo místnosti.
buildtoolbar_popup_mat_derelictwall   Postavte levné opuštěné zdi pro starobylý vzhled.
buildtoolbar_popup_mat_overgrownwall  Stavějte levné zarostlé zdi, protože i ve vězení si život najde cestu.
buildtoolbar_popup_mat_rustywall      Postavte levné Rezavé zdi pro postapokalyptický vzhled.
buildtoolbar_popup_mat_slumwall       Postavte si levné stěny slumů, protože peníze ušetřené na sociálních dávkách pro vězně jsou peníze, které můžete dát na rozšíření kanceláře.
buildtoolbar_popup_mat_bambooFence    Bambusový plot vyrobený člověkem pro vzhled tábora.
buildtoolbar_popup_mat_RunningTrack   Perfektní pro naše chovance, aby mohli běhat na dvoře.
buildtoolbar_popup_mat_BambooFloor    Podlaha se vzhledem tábora v džungli.
buildtoolbar_popup_mat_DecayedWall    Postavte levné stěny z rozpadlého břízolitového bloku na základy.
buildtoolbar_popup_mat_flowerfield    Travnatá plocha s pěknými rostoucími květinami.
buildtoolbar_popup_mat_fenceandgrass  Úseky plotu s trávou pod ním místo hlíny.
buildtoolbar_popup_mat_WallMinSec     Postavte barevné zdi, které budou označovat určitý bezpečnostní sektor věznice.
buildtoolbar_popup_mat_WallMedSec     Postavte barevné zdi, které budou označovat určitý bezpečnostní sektor věznice.
buildtoolbar_popup_mat_WallMaxSec     Vytvořte barevné stěny, které budou označovat určitý bezpečnostní sektor věznice.
buildtoolbar_popup_mat_WallInsaneSec  Vytvořte barevné stěny, které budou označovat určitý bezpečnostní sektor věznice.
buildtoolbar_popup_mat_WallProtective Vytvořte barevné stěny, které budou označovat určitý bezpečnostní sektor věznice.
buildtoolbar_popup_mat_CliffEdge      Postavte skalní stěny, které vytvoří vyvýšené úseky a nepřístupné oblasti kolem věznice nebo ostrova.
buildtoolbar_popup_mat_Water          Vytvářejte potoky, řeky a další neprůchodné vodní plochy.
buildtoolbar_popup_mat_WaterShallow   Vytvářejte mělké vodní plochy, abyste vytvořili hezčí pobřeží, mezi podlahami Sand a Water. Po těchto dlaždicích lze na rozdíl od standardní vody.
buildtoolbar_popup_mat_WaterLarge     Vytvářejte velké vodní plochy, jezera a oceány.

interfaceoverlay_signs							Cedule
interfacemode_walls								Zdi
interfacemode_doors								Dveře

interface_action_snackbought                    Svačina zakoupena

# =============================================================================
# Crisis Toolbar
# =============================================================================

crisisSector_AllSectors    VŠECHNY sektory
crisisSector_StopAll       Stop VŠECHNY
crisisSector_SharedOnly    Pouze sdílené
crisisSector_MinSecOnly    Pouze min. ost.
crisisSector_MedSecOnly    Pouze stř. ost.
crisisSector_MaxSecOnly    Pouze max. ost.
crisisSector_InsaneOnly    Pouze choromyslní
crisisSector_ProtectedOnly Pouze ochr. vazba
crisisSector_SuperMaxOnly  Pouze SuperMax ost.
crisisSector_DeathRowOnly  Pouze vězni cely smrti

crisisToolbarTitle_WeaponsFree			FREEFIRE
crisisToolbarTitle_TunnelSearch			HLEDÁNÍ TUNELŮ
crisisToolbarTitle_Shakedown			PROHLÍDKA CEL
crisisToolbarTitle_Lockdown			UZAMČENÍ VĚZNICE
crisisToolbarTitle_Bangup			NÁVRAT DO CEL
crisisToolbarTitle_RollCall			KONTROLA PREZENCE
crisisToolbarQuestion				 - Jaká odvětví si vybrat?

# =============================================================================
# Custom Sector Window
# =============================================================================

customSector_message			Zvolte, které úrovně ostrahy jsou povoleny pro vstup do tohoto vlastního sektoru.
customsectorwindow_minseccaption		Min. ost.
customsectorwindow_medseccaption		Stř. ost.
customsectorwindow_maxseccaption		Max. ost.	
customsectorwindow_supermaxcaption	SuperMax ost.
customsectorwindow_deathrowcaption	Cela srmti
customsectorwindow_protectivecaption	Ochranná vazba
customsectorwindow_insanecaption		Choromyslní

customSector_title			Vlastní bezpečnostní sektor
customSector_subtitle			Tento bezpečnostní sektor umožňuje:

# =============================================================================
# Room Grading
# =============================================================================

roomgrading_messaging							Vylepšením této místnosti se zlepší i hodnocení tohoto bezpečnostního sektoru.
roomGrading_prisonerTransfer					Upgrady motivují pouze vězně s nainstalovaným DLC "Cleared For Transfer" a zapnutou možností "Přesuny vězňů" v nabídce Nastavení mapy.

roomgrading_Cell_BadWalls            [*E] Obklopen depresivními stěnami
roomgrading_Cell_OutsideWindow_Large [*E]*Y Velké okno
roomgrading_Cell_HasWindow_None      [*E] Žádná okna
roomgrading_Dormitory_BadWalls       [*E] Obklopeno depresivními stěnami
roomgrading_Dormitory_Mattress       [*E] Většina nekvalitních postelí
roomgrading_Dormitory_HasWindow_None [*E] Žádná okna
roomgrading_Canteen_RoomSize         [*E] Velikost místnosti alespoň *X čtverečních metrů
roomgrading_Canteen_Item             [*E] Položka : *X
roomgrading_Canteen_MealQuality      [*E] PRŮMĚNÁ kvalita jídla
roomgrading_Canteen_MealQuality_High [*E] VYSOKÁ kvalita jídla
roomgrading_Canteen_MealQuality_Low  [*E] NÍZKÁ Kvalita jídla
roomgrading_Canteen_MealQuality_None [*E] ŽÁDNÁ Kvalita jídla
roomgrading_Canteen_MealVariety      [*E] PRŮMĚRNÁ rozmanitost jídel
roomgrading_Canteen_MealVariety_High [*E] VYSOKÁ Rozmanitost jídel
roomgrading_Canteen_MealVariety_Low  [*E] NÍZKÁ rozmanitost jídel
roomgrading_Canteen_MealVariety_None [*E] ŽÁDNÁ Rozmanitost jídel
roomgrading_Canteen_HasWindow_None   [*E] Žádná okna
roomgrading_Yard_RoomSize            [*E] Velikost místnosti alespoň *X čtverců
